自用拼音	中古拼音(polyhedron 版)
tshǒi	chaix
tshòi	chaih
dzōi	zai
dzǒi	zaix
dzòi	zaih
sōi	sai
sòi	saih
kōi	kai
kǒi	kaix
kòi	kaih
khōi	khai
khǒi	khaix
khòi	khaih
ŋōi	ngai
ŋòi	ngaih
hōi	hai
hǒi	haix
hòi	haih
ĥōi	ghai
ĥǒi	ghaix
ĥòi	ghaih
ȝōi	qai
ȝǒi	qaix
ȝòi	qaih
tśhiōi	chjai
tśhiǒi	chjaix
ńiǒi	njaix
jiǒi	jaix
ŋiòi	ngiad
püòi	pyad
phüòi	phyad
büòi	byad
khüòi	khyad
güòi	gyad
hüòi	hyad
ȝüòi	qyad
pьīn	pjin
pьìn	pjinh
pьi̍t	pjit
phьīn	phjin
phьìn	phjinh
phьi̍t	phjit
bьīn	bjin
bьǐn	bjinx
bьi̍t	bjit
mьīn	mjin
mьǐn	mjinx
mьi̍t	mjit
lьīn	lin
lьǐn	linx
lьìn	linh
lьi̍t	lit
tsьīn	cin
tsьǐn	cinx
tsьìn	cinh
tsьi̍t	cit
tshьīn	chin
tshьǐn	chinx
tshьìn	chinh
tshьi̍t	chit
dzьīn	zin
dzьǐn	zinx
dzьi̍t	zit
sьīn	sin
sьìn	sinh
sьi̍t	sit
zьìn	zsinh
tśьīn	cjin
tśьǐn	cjinx
tśьìn	cjinh
tśьi̍t	cjit
tśhьīn	chjin
tśhьi̍t	chjit
dźьīn	zjin
dźьǐn	zjinx
dźьìn	zjinh
ńьīn	njin
ńьǐn	njinx
ńьìn	njinh
ńьi̍t	njit
śьīn	sjin
śьǐn	sjinx
śьìn	sjinh
śьi̍t	sjit
źьīn	zsjin
źьi̍t	zsjit
kьǐn	kjinx
kьi̍t	kjit
khьǐn	khjinx
khьìn	khjinh
khьi̍t	khjit
gьīn	gjin
hьi̍t	hjit
ȝьīn	qjin
ȝьìn	qjinh
ȝьi̍t	qjit
jьīn	jin
jьǐn	jinx
jьìn	jinh
jьi̍t	jit
ьīn	in
lьüīn	lyn
lьüǐn	lynx
lьüi̍t	lyt
tsьüīn	cyn
tsьüìn	cynh
tsьüi̍t	cyt
tshьüīn	chyn
tshьüi̍t	chyt
dzьüīn	zyn
dzьüi̍t	zyt
sьüīn	syn
sьüǐn	synx
sьüìn	synh
sьüi̍t	syt
zьüīn	zsyn
zьüìn	zsynh
tśьüīn	cjyn
tśьüǐn	cjynx
tśьüìn	cjynh
tśhьüīn	chjyn
tśhьüǐn	chjynx
tśhьüi̍t	chjyt
dźьüīn	zjyn
ńьüīn	njyn
ńьüǐn	njynx
ńьüìn	njynh
śьüǐn	sjynx
śьüìn	sjynh
źьüīn	zsjyn
źьüǐn	zsjynx
źьüìn	zsjynh
źьüi̍t	zsjyt
kьüīn	kjyn
kьüìn	kjynh
kьüi̍t	kjyt
hьüi̍t	hjyt
jьüīn	jyn
jьüǐn	jynx
